emoji,name,clean_name,emotional_scores,scaled_emotional_scores,max_emotion,sentiment
😊,smiling face with smiling eyes,smile face smile eye,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 4, 'Sadness': 0, 'Surprise': 2, 'Trust': 2}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.09090909090909091, 'Sadness': 0.0, 'Surprise': 0.058823529411764705, 'Trust': 0.08333333333333333}",Joy,positive
😇,smiling face with halo,smile face halo,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
🥰,smiling face with hearts,smile face heart,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
😍,smiling face with heart-eyes,smile face heart eye,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
😘,face blowing a kiss,face blowing kiss,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Anticipation,positive
😗,kissing face,kiss face,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Anticipation,positive
☺,smiling face,smile face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
😚,kissing face with closed eyes,kiss face close eye,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Anticipation,positive
😙,kissing face with smiling eyes,kiss face smile eye,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 3, 'Sadness': 0, 'Surprise': 2, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.06818181818181818, 'Sadness': 0.0, 'Surprise': 0.058823529411764705, 'Trust': 0.041666666666666664}",Joy,positive
🥲,smiling face with tear,smile face tear,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
😋,face savoring food,face savor food,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 1, 'Fear': 0, 'Joy': 2, 'Sadness': 1, 'Surprise': 0, 'Trust': 2}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.08333333333333333}",Trust,neutral
😛,face with tongue,face tongue,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😜,winking face with tongue,wink face tongue,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤪,zany face,zany face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Surprise,neutral
😝,squinting face with tongue,squint face tongue,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤗,hugging face,hug face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.022727272727272728, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.041666666666666664}",Trust,positive
🤭,face with hand over mouth,face hand mouth,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Surprise,positive
🤫,shushing face,shush face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤔,thinking face,think face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤐,zipper-mouth face,zipper mouth face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Surprise,neutral
🤨,face with raised eyebrow,face raise eyebrow,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😐,neutral face,neutral face,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.041666666666666664}",Anticipation,neutral
😑,expressionless face,expressionless face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😶,face without mouth,face mouth,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Surprise,neutral
😶‍🌫️,⊛ face in clouds,face cloud,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.0}",Sadness,neutral
😏,smirking face,smirk face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😒,unamused face,face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🙄,face with rolling eyes,face roll eye,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😬,grimacing face,grimace face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,negative
😮‍💨,⊛ face exhaling,face exhale,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤥,lying face,lie face,"{'Anger': 2, 'Anticipation': 0, 'Disgust': 2, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.13333333333333333, 'Anticipation': 0.0, 'Disgust': 0.125, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.0}",Anger,neutral
😌,relieved face,relieve face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,positive
😔,pensive face,pensive face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.0}",Sadness,positive
😪,sleepy face,sleepy face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤤,drooling face,drool face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Disgust,neutral
😴,sleeping face,sleep face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😷,face with medical mask,face medical mask,"{'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 1, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.06666666666666667, 'Disgust': 0.0, 'Fear': 0.08333333333333333, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.041666666666666664}",Fear,neutral
🤒,face with thermometer,face thermometer,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.041666666666666664}",Trust,neutral
🤕,face with head-bandage,face head bandage,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤢,nauseated face,nauseate face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤮,face vomiting,face vomit,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Disgust,neutral
🤧,sneezing face,sneeze face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 1, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0625, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Disgust,neutral
🥵,hot face,hot face,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Anger,neutral
🥶,cold face,cold face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🥴,woozy face,woozy face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😵,knocked-out face,knock face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😵‍💫,⊛ face with spiral eyes,face spiral eye,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
🤯,exploding head,explode head,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 0, 'Fear': 1, 'Joy': 0, 'Sadness': 1, 'Surprise': 1, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.08333333333333333, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.029411764705882353, 'Trust': 0.0}",Fear,neutral
🤠,cowboy hat face,cowboy hat face,"{'Anger': 1, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.06666666666666667, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",Anger,neutral
🥳,partying face,party face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,positive
🥸,disguised face,disguise face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,negative
😎,smiling face with sunglasses,smile face sunglass,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.045454545454545456, 'Sadness': 0.0, 'Surprise': 0.029411764705882353, 'Trust': 0.041666666666666664}",Joy,positive
🤓,nerd face,nerd face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,negative
🧐,face with monocle,face monocle,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,neutral
😕,confused face,confuse face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.0, 'Surprise': 0.0, 'Trust': 0.0}",No Emotion,negative
😟,worried face,worried face,"{'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 1, 'Surprise': 0, 'Trust': 0}","{'Anger': 0.0, 'Anticipation': 0.0, 'Disgust': 0.0, 'Fear': 0.0, 'Joy': 0.0, 'Sadness': 0.05, 'Surprise': 0.0, 'Trust': 0.0}",Sadness,negative
